zcta,under_100_FPL,less_12_education,non_employment,renting,crowded,single_parent_family,no_vehicle_households
1347,0.137055838,0.130718954,0.105820106,0.574257426,0.217821782,0,0
1349,0.153141361,0.014897579,0.196202532,0.201166181,0.037900875,0.208121827,0.020408163
1350,0.106796117,0.049382716,0.35,0.132075472,0,0.15625,0
1351,0.074060562,0.085156993,0.214936248,0.19245648,0.005802708,0.172727273,0.02901354
1354,0.091795754,0.044461191,0.271084337,0.188197767,0,0.088888889,0.023923445
1355,0.10703667,0.028894472,0.218662953,0.133495146,0.007281553,0.060422961,0
1360,0.07150368,0.087581094,0.223306233,0.111836735,0.006530612,0.12858661,0.033469388
1364,0.203610965,0.091834879,0.387492209,0.288764783,0.023981603,0.157923202,0.103810775
1366,0.064912281,0.033477322,0.259103641,0.097613883,0,0.016393443,0.060737527
1367,0.129482072,0.078212291,0.266666667,0.141414141,0.015151515,0.062937063,0.01010101
1368,0.112027491,0.113899614,0.298992161,0.1133829,0.057620818,0.098701299,0.033457249
1370,0.135098622,0.04856661,0.276450512,0.314187249,0.007466973,0.128672746,0.051120046
1373,0.034236805,0.032132677,0.219009536,0.183629277,0.003897791,0.126106195,0.06236466
1375,0.188405797,0.044622426,0.192708333,0.576203966,0.038526912,0.094039735,0.058356941
1376,0.089285714,0.069946809,0.23939987,0.487549148,0.016601136,0.175955414,0.148536479
1378,0.066584464,0.034175334,0.256272401,0.07183908,0,0.021276596,0.017241379
1379,0.155327343,0.028963415,0.341666667,0.144808743,0,0.105990783,0.016393443
1420,0.140720955,0.137091013,0.293038855,0.441616766,0.028502994,0.179027072,0.121317365
1430,0.096642611,0.04929896,0.269491525,0.068132816,0.008624407,0.113612004,0.015092712
1431,0.028553499,0.065469062,0.216499762,0.045124899,0,0.03125,0
1432,0.071419653,0.10717914,0.214285714,0.309641873,0.0184573,0.154798762,0.035812672
1434,0.096470588,0.138670479,0.64619883,0.161870504,0,0.201030928,0.14028777
1436,0.058773903,0.145611157,0.363471971,0.192156863,0.013333333,0.189599133,0.017254902
1438,0.01038961,0.06547619,0.381355932,0.165413534,0.248120301,0.723684211,0
1440,0.147544243,0.117213869,0.356430636,0.421076183,0.013200582,0.17369186,0.100011187
1450,0.045277903,0.042236195,0.230194758,0.12027027,0.011351351,0.051502146,0.038108108
1451,0.043453935,0.015184382,0.257193711,0.060588901,0.008493771,0.023960536,0.00792752
1452,0.075401443,0.047135843,0.243963068,0.07855763,0.035415325,0.064102564,0.0257566
1453,0.089481221,0.097701693,0.237513913,0.345848729,0.015703108,0.131766382,0.098728537
1460,0.06955909,0.039966106,0.265838509,0.135788586,0.005060444,0.046853147,0.007309531
1462,0.071800119,0.049168561,0.262059801,0.190920938,0.020634231,0.118323989,0.04018245
1463,0.063089572,0.034125166,0.234715298,0.170315741,0.004839825,0.049265905,0.026042867
1464,0.02098724,0.087251829,0.395159563,0.214574899,0.006072874,0.028887523,0.034412955
1468,0.045397855,0.043364852,0.19172787,0.122436671,0.000603136,0.15143824,0
1469,0.069304153,0.041971887,0.219811528,0.173042546,0.003932785,0.062246964,0.0289596
1473,0.034363412,0.062419769,0.260794099,0.141625616,0,0.066694631,0.014470443
1474,0.098843323,0.066139468,0.270440252,0.108910891,0,0,0.028288543
1475,0.101047017,0.065965311,0.313531353,0.247770346,0.017837235,0.109613338,0.051839465
1501,0.036800962,0.067923912,0.230374753,0.160221823,0.012290168,0.116738587,0.058153477
1503,0.050256996,0.023013305,0.204658077,0.185055866,0,0.031958763,0.011871508
1504,0.048554283,0.034959833,0.167846659,0.244966443,0.003613836,0.130272953,0.049303046
1505,0.080412371,0.034716572,0.241754617,0.199034335,0.005901288,0.072048032,0.027896996
1506,0.071158873,0.044776119,0.196736597,0.124567474,0.010380623,0.061926606,0.030449827
1507,0.037650261,0.050582802,0.24546992,0.183116077,0.019449617,0.106354693,0.039313056
1510,0.060285079,0.073763091,0.219547909,0.443998812,0.009655377,0.107777454,0.045008913
1515,0.062380952,0.034546576,0.2144,0.21010333,0.013777268,0.076347305,0.051664753
1516,0.03050038,0.017959436,0.229304776,0.151898734,0.019936709,0.077459016,0.034493671
1518,0.091893666,0.039618138,0.19379845,0.304711246,0,0.243986254,0.041033435
1519,0.05462405,0.027594481,0.245543099,0.239287069,0,0.076054956,0.014789534
1520,0.04355129,0.037289916,0.213744216,0.140682503,0.012713282,0.11419214,0.021077283
1521,0.088974855,0.068057625,0.231100184,0.098723404,0.014468085,0.147398844,0.02212766
1522,0.060553633,0.014529058,0.279217345,0.157017544,0.022807018,0.063559322,0.037719298
1523,0.031211499,0.063156194,0.36677339,0.175444482,0.019456558,0.065339459,0.041932238
1524,0.047553411,0.058464428,0.208641975,0.153177869,0.013717421,0.113360324,0.025148605
1527,0.049380015,0.066151287,0.238068374,0.258974851,0.002879631,0.12289916,0.062392014
1529,0.078963992,0.075615973,0.170342562,0.140392157,0,0.078453039,0.03372549
1531,0.130081301,0.109498681,0.258823529,0.156716418,0,0.135714286,0.032338308
1532,0.038238329,0.029928136,0.210603829,0.152615279,0.015829319,0.073761386,0.031830695
1534,0.028980447,0.107291186,0.191157347,0.198032506,0.009837468,0.080915179,0.04063302
1535,0.082806574,0.056330014,0.211598746,0.303580973,0.0181721,0.074688797,0.019241048
1536,0.081838256,0.05561993,0.206679679,0.243064729,0.004953765,0.079801871,0.097754293
1537,0.040310078,0.114664587,0.067387687,0.266089109,0,0.056790123,0.01980198
1540,0.036811441,0.049891801,0.27241068,0.169245886,0,0.089500861,0.042741341
1541,0.038626609,0.016764133,0.181472684,0.04331307,0,0.058656575,0.012917933
1542,0.018195051,0.05473584,0.158963585,0.106884058,0.061594203,0.131386861,0.014492754
1543,0.0154202,0.020896528,0.232462625,0.150425114,0,0.061484409,0.042511445
1545,0.038937135,0.038956677,0.242931606,0.264975042,0.018788131,0.080643617,0.040765391
1550,0.179355952,0.195920837,0.326880811,0.56173542,0.035277383,0.240320427,0.183357041
1560,0.043855932,0.038301663,0.201507208,0.36687631,0.009433962,0.052221356,0.03197065
1562,0.060083682,0.079449962,0.222191818,0.350511408,0.007867821,0.11480916,0.075137687
1564,0.024898888,0.030913126,0.184618482,0.11152846,0,0.091239403,0.027448714
1566,0.018543046,0.045584046,0.235486303,0.098068913,0.007194245,0.057294174,0.021582734
1568,0.017694576,0.023348416,0.178789795,0.102294096,0.014667168,0.073816761,0.004889056
1569,0.032392146,0.046523017,0.185237526,0.189842579,0.012931034,0.099974431,0.043665667
1570,0.143039369,0.081452249,0.263960774,0.410067022,0.01395158,0.217078652,0.10545753
1571,0.073146109,0.070374275,0.273277057,0.293897592,0.010287585,0.172856647,0.103109656
